iso3,year,hs27_import_value,all_import_value,exp_imp,exp_imp_pct
ABW,2015,60271547.0,1165014285.0,0.051734599116954175,5.173459911695417
ABW,2016,45841412.83,1117122531.19,0.041035259383022236,4.103525938302224
ABW,2017,65925477.661,1194930129.701,0.05517098951843831,5.517098951843831
ABW,2018,76706439.484,1255956119.625,0.06107413968164971,6.107413968164971
ABW,2019,63090147.702,1313806452.372,0.04802088434570744,4.802088434570744
ABW,2020,45556837.09,939368007.599,0.04849732662967955,4.849732662967956
ABW,2021,60587516.464,1169773934.344,0.05179420970597793,5.179420970597793
ABW,2022,99060077.933,1473238002.652,0.06723969769628554,6.723969769628554
ABW,2023,91135588.1,1536519564.793,0.05931300205232192,5.931300205232192
AFG,2015,1637956960.0,7722865049.0,0.212091879063987,21.2091879063987
AFG,2016,1008081868.0,6534140413.0,0.15427918659268028,15.427918659268029
AFG,2017,923541847.36,7792600111.74,0.11851523677811096,11.851523677811096
AFG,2018,969675693.88,7406590324.75,0.13092066002890881,13.092066002890881
AFG,2019,1944548257.28,8568013876.87,0.226954377668488,22.6954377668488
AGO,2015,1412342043.06,21549256530.51,0.06554017495036868,6.554017495036868
AGO,2016,1575700425.15,14347710497.8,0.10982242953616952,10.982242953616952
AGO,2017,1667571142.72,15462313478.23,0.10784745407392232,10.784745407392233
AGO,2018,2416096927.868,16006910579.064,0.15094086494292647,15.094086494292647
AGO,2019,1980106610.626,13961640425.765,0.14182478206299343,14.182478206299344
AGO,2020,926453818.524,9337925708.641,0.09921409180485244,9.921409180485243
AGO,2021,1886757547.563,11378927920.701,0.16581153872418292,16.58115387241829
AGO,2022,3982471153.295,17802935241.948,0.22369744647002587,22.369744647002587
AGO,2023,3482377834.076,15695872014.241,0.2218658403251765,22.18658403251765
AGO,2024,2860345600.32,13945978914.08,0.205101815938655,20.5101815938655
ALB,2015,449330900.0,4320219367.0,0.10400650101988212,10.400650101988212
ALB,2016,354626073.0,4669289913.0,0.0759486088050922,7.59486088050922
ALB,2017,521726891.338,5293901931.205,0.09855242845785855,9.855242845785856
ALB,2018,598902417.824,5941286949.487,0.10080348296856999,10.080348296856998
ALB,2019,665556774.091,5908003380.108,0.1126534179604402,11.265341796044021
ALB,2020,466511131.365,5410943446.851,0.0862162275298765,8.62162275298765
ALB,2021,972455883.292,7734905145.339,0.1257230521925657,12.572305219256569
ALB,2022,1457698639.061,8407345270.407,0.17338393894585857,17.338393894585856
ALB,2023,947422081.583,8668927602.553,0.1092894213701801,10.92894213701801
ALB,2024,925112956.527,9604259002.105,0.09632319956430159,9.632319956430159
AND,2015,115221865.472,1293752876.505,0.08906018109367635,8.906018109367634
AND,2016,90017199.452,1354095940.021,0.06647771165358045,6.647771165358045
AND,2017,114284041.269,1478481177.622,0.07729827271309284,7.729827271309284
AND,2018,135016037.84,1609618777.551,0.0838807546998327,8.388075469983269
AND,2019,124516321.107,1539071291.553,0.08090354344882672,8.090354344882671
AND,2020,77573265.725,1494812273.301,0.05189498849490621,5.189498849490621
AND,2021,125697827.79,1563492399.55,0.08039554770216856,8.039554770216856
AND,2022,223148717.398,1864440632.899,0.11968668428504925,11.968668428504925
AND,2023,173437348.109,1994797838.0,0.0869448245857784,8.69448245857784
ARE,2015,1953361321.571,287024695498.028,0.006805551411461807,0.6805551411461808
ARE,2016,3055142408.013,270779148786.635,0.011282783115698287,1.1282783115698287
ARE,2017,9364740065.425,257733259747.664,0.036335008041234684,3.6335008041234684
ARE,2018,15427280997.4,244687551962.78,0.06304890001002862,6.304890001002862
ARE,2019,55758731192.472,288446698975.132,0.1933068791932306,19.33068791932306
ARE,2020,42449014653.021,246961070632.623,0.1718854495742277,17.18854495742277
ARE,2021,36789890019.708,347528997702.207,0.10586135333441377,10.586135333441376
ARE,2022,20590754358.498,420493197887.132,0.04896810331763068,4.896810331763068
ARE,2023,21257678536.735,470536019784.564,0.04517757970254408,4.517757970254408
ARG,2015,6581551365.86,60202843498.91,0.10932293199704365,10.932293199704365
ARG,2016,4699693263.03,55910810438.22,0.08405696905830115,8.405696905830116
ARG,2017,5461412052.16,66899299586.97,0.08163631137961452,8.163631137961453
ARG,2018,6275148790.1,65440966165.64,0.09589022225339314,9.589022225339313
ARG,2019,4190205856.16,49125029975.95,0.08529675927345769,8.52967592734577
ARG,2020,2566141639.82,42355505399.72,0.060585787269037385,6.058578726903739
ARG,2021,5802853230.04,63183637614.17,0.0918410754612617,9.184107546126171
ARG,2022,12783103821.15,81522681076.03,0.15680426173948048,15.680426173948048
ARG,2023,7763068627.97,73713612595.47,0.10531390817287216,10.531390817287216
ARG,2024,3777841335.36,60775571546.89,0.062160523368263075,6.216052336826308
ARM,2015,673716410.0,3256964792.0,0.2068540659864769,20.685406598647692
ARM,2016,567308482.0,3218457706.0,0.17626718565926683,17.626718565926684
